2023-08-08 22:29:26,567 - BARKLY-OOS (CAERLEON) - INFO - ********** AST-GCN model training started at BARKLY-OOS (CAERLEON)
2023-08-08 22:29:26,567 - BARKLY-OOS (CAERLEON) - INFO - Starting data preprocessing for station BARKLY-OOS (CAERLEON)
2023-08-08 22:29:26,760 - BARKLY-OOS (CAERLEON) - DEBUG - Starting to train the model
2023-08-08 22:29:42,608 - BARKLY-OOS (CAERLEON) - INFO - Model Summary:
Model: "model_3"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input_4 (InputLayer)        [(None, 10, 1, 40)]       0         
                                                                 
 gcn_cell_3 (GcnCell)        (None, 10, 63)            21485     
                                                                 
 reshape_3 (Reshape)         (None, 63, 10)            0         
                                                                 
 lstm_3 (LSTM)               (None, 64)                19200     
                                                                 
 dense_7 (Dense)             (None, 40)                2600      
                                                                 
=================================================================
Total params: 43,285
Trainable params: 43,285
Non-trainable params: 0
_________________________________________________________________

2023-08-08 22:29:42,608 - BARKLY-OOS (CAERLEON) - INFO - Epoch 1 loss: 0.29469960927963257
2023-08-08 22:29:42,609 - BARKLY-OOS (CAERLEON) - INFO - Epoch 1 val_loss: 0.2575611174106598
2023-08-08 22:29:42,700 - BARKLY-OOS (CAERLEON) - INFO - Saving the results of predictions to Results/ASTGCN/9 Hour Forecast/BARKLY-OOS (CAERLEON)/Predictions/result.csv
2023-08-08 22:29:42,700 - BARKLY-OOS (CAERLEON) - INFO - Saving the targets of actual values to Results/ASTGCN/9 Hour Forecast/BARKLY-OOS (CAERLEON)/Targets/target.csv
2023-08-08 22:29:42,701 - BARKLY-OOS (CAERLEON) - INFO - Saving the loss to Results/ASTGCN/9 Hour Forecast/BARKLY-OOS (CAERLEON)/Predictions/loss.csv
2023-08-08 22:29:42,719 - BARKLY-OOS (CAERLEON) - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-08 22:29:42,855 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 00:00:00 Index 0 - Actual: 0.5641025641025692, Predicted: 0.4044494032859802
2023-08-08 22:29:42,977 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 01:00:00 Index 1 - Actual: 0.5512820512820582, Predicted: 0.42775240540504456
2023-08-08 22:29:43,104 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 02:00:00 Index 2 - Actual: 0.551282051282044, Predicted: 0.48560982942581177
2023-08-08 22:29:43,230 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 03:00:00 Index 3 - Actual: 0.5499999999999972, Predicted: 0.4122515022754669
2023-08-08 22:29:43,360 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 04:00:00 Index 4 - Actual: 0.5783132530120412, Predicted: 0.33498188853263855
2023-08-08 22:29:43,489 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 05:00:00 Index 5 - Actual: 0.6265060240964004, Predicted: 0.3973105549812317
2023-08-08 22:29:43,620 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 06:00:00 Index 6 - Actual: 0.6265060240964004, Predicted: 0.40758395195007324
2023-08-08 22:29:43,749 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 07:00:00 Index 7 - Actual: 0.6024096385542208, Predicted: 0.40682998299598694
2023-08-08 22:29:43,876 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 08:00:00 Index 8 - Actual: 0.6024096385542208, Predicted: 0.4374987781047821
2023-08-08 22:29:44,004 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 09:00:00 Index 9 - Actual: 0.5301204819277245, Predicted: 0.3410934805870056
2023-08-08 22:29:44,129 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 10:00:00 Index 10 - Actual: 0.6825396825396828, Predicted: 0.3696432113647461
2023-08-08 22:29:44,254 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 11:00:00 Index 11 - Actual: 0.9206349206349207, Predicted: 0.4486134946346283
2023-08-08 22:29:44,382 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 12:00:00 Index 12 - Actual: 0.9047619047619051, Predicted: 0.40046077966690063
2023-08-08 22:29:44,511 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 13:00:00 Index 13 - Actual: 0.8571428571428568, Predicted: 0.3474535048007965
2023-08-08 22:29:44,638 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 14:00:00 Index 14 - Actual: 0.8095238095238098, Predicted: 0.37856417894363403
2023-08-08 22:29:44,769 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 15:00:00 Index 15 - Actual: 0.7301587301587302, Predicted: 0.39093852043151855
2023-08-08 22:29:44,910 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 16:00:00 Index 16 - Actual: 0.5079365079365084, Predicted: 0.4236266613006592
2023-08-08 22:29:45,036 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 17:00:00 Index 17 - Actual: 0.3650793650793651, Predicted: 0.4556167423725128
