2023-08-08 18:53:55,662 - BARKLY-OOS (CAERLEON) - INFO - ********** AST-GCN model training started at BARKLY-OOS (CAERLEON)
2023-08-08 18:53:55,662 - BARKLY-OOS (CAERLEON) - INFO - Starting data preprocessing for station BARKLY-OOS (CAERLEON)
2023-08-08 18:53:55,888 - BARKLY-OOS (CAERLEON) - DEBUG - Starting to train the model
2023-08-08 18:54:18,306 - BARKLY-OOS (CAERLEON) - INFO - Model Summary:
Model: "model_3"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input_4 (InputLayer)        [(None, 10, 1, 40)]       0         
                                                                 
 gcn_cell_3 (GcnCell)        (None, 10, 63)            21485     
                                                                 
 reshape_3 (Reshape)         (None, 63, 10)            0         
                                                                 
 lstm_3 (LSTM)               (None, 64)                19200     
                                                                 
 dense_7 (Dense)             (None, 40)                2600      
                                                                 
=================================================================
Total params: 43,285
Trainable params: 43,285
Non-trainable params: 0
_________________________________________________________________

2023-08-08 18:54:18,307 - BARKLY-OOS (CAERLEON) - INFO - Epoch 1 loss: 0.2902088761329651
2023-08-08 18:54:18,307 - BARKLY-OOS (CAERLEON) - INFO - Epoch 1 val_loss: 0.26299625635147095
2023-08-08 18:54:18,431 - BARKLY-OOS (CAERLEON) - INFO - Saving the results of predictions to Results/ASTGCN/3 Hour Forecast/BARKLY-OOS (CAERLEON)/Predictions/result.csv
2023-08-08 18:54:18,432 - BARKLY-OOS (CAERLEON) - INFO - Saving the targets of actual values to Results/ASTGCN/3 Hour Forecast/BARKLY-OOS (CAERLEON)/Targets/target.csv
2023-08-08 18:54:18,432 - BARKLY-OOS (CAERLEON) - INFO - Saving the loss to Results/ASTGCN/3 Hour Forecast/BARKLY-OOS (CAERLEON)/Predictions/loss.csv
2023-08-08 18:54:18,455 - BARKLY-OOS (CAERLEON) - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-08 18:54:18,636 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 00:00:00 Index 0 - Actual: 0.4487179487179418, Predicted: 0.40554437041282654
2023-08-08 18:54:18,795 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 01:00:00 Index 1 - Actual: 0.5256410256410504, Predicted: 0.35012197494506836
2023-08-08 18:54:18,972 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 02:00:00 Index 2 - Actual: 0.6025641025641022, Predicted: 0.43733713030815125
2023-08-08 18:54:19,121 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 03:00:00 Index 3 - Actual: 0.6124999999999972, Predicted: 0.406069278717041
2023-08-08 18:54:19,279 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 04:00:00 Index 4 - Actual: 0.590361445783131, Predicted: 0.5129412412643433
2023-08-08 18:54:19,436 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 05:00:00 Index 5 - Actual: 0.5301204819277245, Predicted: 0.4496323764324188
2023-08-08 18:54:19,593 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 06:00:00 Index 6 - Actual: 0.5301204819276961, Predicted: 0.3940824270248413
2023-08-08 18:54:19,756 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 07:00:00 Index 7 - Actual: 0.5180722891566205, Predicted: 0.4016457200050354
2023-08-08 18:54:19,970 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 08:00:00 Index 8 - Actual: 0.5180722891566347, Predicted: 0.40169402956962585
2023-08-08 18:54:20,125 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 09:00:00 Index 9 - Actual: 0.5301204819277245, Predicted: 0.3670295178890228
2023-08-08 18:54:20,292 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 10:00:00 Index 10 - Actual: 0.44444444444444464, Predicted: 0.4249889552593231
2023-08-08 18:54:20,441 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 11:00:00 Index 11 - Actual: 0.5555555555555556, Predicted: 0.3345834016799927
2023-08-08 18:54:20,600 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 12:00:00 Index 12 - Actual: 0.6666666666666665, Predicted: 0.45023030042648315
2023-08-08 18:54:20,761 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 13:00:00 Index 13 - Actual: 0.6190476190476186, Predicted: 0.3694329857826233
2023-08-08 18:54:20,920 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 14:00:00 Index 14 - Actual: 0.7460317460317463, Predicted: 0.45050445199012756
2023-08-08 18:54:21,066 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 15:00:00 Index 15 - Actual: 0.8095238095238095, Predicted: 0.4787663519382477
2023-08-08 18:54:21,212 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 16:00:00 Index 16 - Actual: 0.6825396825396823, Predicted: 0.4532269835472107
