2023-08-08 23:37:20,456 - BARKLY-OOS (CAERLEON) - INFO - ********** AST-GCN model training started at BARKLY-OOS (CAERLEON)
2023-08-08 23:37:20,456 - BARKLY-OOS (CAERLEON) - INFO - Starting data preprocessing for station BARKLY-OOS (CAERLEON)
2023-08-08 23:37:20,682 - BARKLY-OOS (CAERLEON) - DEBUG - Starting to train the model
2023-08-08 23:37:41,800 - BARKLY-OOS (CAERLEON) - INFO - Model Summary:
Model: "model_3"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input_4 (InputLayer)        [(None, 10, 1, 40)]       0         
                                                                 
 gcn_cell_3 (GcnCell)        (None, 10, 63)            21485     
                                                                 
 reshape_3 (Reshape)         (None, 63, 10)            0         
                                                                 
 lstm_3 (LSTM)               (None, 64)                19200     
                                                                 
 dense_7 (Dense)             (None, 40)                2600      
                                                                 
=================================================================
Total params: 43,285
Trainable params: 43,285
Non-trainable params: 0
_________________________________________________________________

2023-08-08 23:37:41,800 - BARKLY-OOS (CAERLEON) - INFO - Epoch 1 loss: 0.2774253785610199
2023-08-08 23:37:41,800 - BARKLY-OOS (CAERLEON) - INFO - Epoch 1 val_loss: 0.2518817186355591
2023-08-08 23:37:41,946 - BARKLY-OOS (CAERLEON) - INFO - Saving the results of predictions to Results/ASTGCN/12 Hour Forecast/BARKLY-OOS (CAERLEON)/Predictions/result.csv
2023-08-08 23:37:41,946 - BARKLY-OOS (CAERLEON) - INFO - Saving the targets of actual values to Results/ASTGCN/12 Hour Forecast/BARKLY-OOS (CAERLEON)/Targets/target.csv
2023-08-08 23:37:41,946 - BARKLY-OOS (CAERLEON) - INFO - Saving the loss to Results/ASTGCN/12 Hour Forecast/BARKLY-OOS (CAERLEON)/Predictions/loss.csv
2023-08-08 23:37:41,971 - BARKLY-OOS (CAERLEON) - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-08 23:37:42,165 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 00:00:00 Index 0 - Actual: 0.5641025641025692, Predicted: 0.41067397594451904
2023-08-08 23:37:42,343 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 01:00:00 Index 1 - Actual: 0.6153846153846132, Predicted: 0.37212449312210083
2023-08-08 23:37:42,494 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 02:00:00 Index 2 - Actual: 0.6666666666666714, Predicted: 0.41445913910865784
2023-08-08 23:37:42,645 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 03:00:00 Index 3 - Actual: 0.6500000000000057, Predicted: 0.4063526391983032
2023-08-08 23:37:42,803 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 04:00:00 Index 4 - Actual: 0.6024096385542208, Predicted: 0.3926556706428528
2023-08-08 23:37:42,955 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 05:00:00 Index 5 - Actual: 0.602409638554235, Predicted: 0.456986665725708
2023-08-08 23:37:43,111 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 06:00:00 Index 6 - Actual: 0.5301204819276961, Predicted: 0.38352760672569275
