2023-08-09 00:35:32,699 - BARKLY-OOS (CAERLEON) - INFO - ********** AST-GCN model training started at BARKLY-OOS (CAERLEON)
2023-08-09 00:35:32,699 - BARKLY-OOS (CAERLEON) - INFO - Starting data preprocessing for station BARKLY-OOS (CAERLEON)
2023-08-09 00:35:32,936 - BARKLY-OOS (CAERLEON) - DEBUG - Starting to train the model
2023-08-09 00:35:52,609 - BARKLY-OOS (CAERLEON) - INFO - Model Summary:
Model: "model_3"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input_4 (InputLayer)        [(None, 10, 1, 40)]       0         
                                                                 
 gcn_cell_3 (GcnCell)        (None, 10, 63)            21485     
                                                                 
 reshape_3 (Reshape)         (None, 63, 10)            0         
                                                                 
 lstm_3 (LSTM)               (None, 64)                19200     
                                                                 
 dense_7 (Dense)             (None, 40)                2600      
                                                                 
=================================================================
Total params: 43,285
Trainable params: 43,285
Non-trainable params: 0
_________________________________________________________________

2023-08-09 00:35:52,609 - BARKLY-OOS (CAERLEON) - INFO - Epoch 1 loss: 0.2817860245704651
2023-08-09 00:35:52,610 - BARKLY-OOS (CAERLEON) - INFO - Epoch 1 val_loss: 0.23621609807014465
2023-08-09 00:35:52,727 - BARKLY-OOS (CAERLEON) - INFO - Saving the results of predictions to Results/ASTGCN/24 Hour Forecast/BARKLY-OOS (CAERLEON)/Predictions/result.csv
2023-08-09 00:35:52,728 - BARKLY-OOS (CAERLEON) - INFO - Saving the targets of actual values to Results/ASTGCN/24 Hour Forecast/BARKLY-OOS (CAERLEON)/Targets/target.csv
2023-08-09 00:35:52,728 - BARKLY-OOS (CAERLEON) - INFO - Saving the loss to Results/ASTGCN/24 Hour Forecast/BARKLY-OOS (CAERLEON)/Predictions/loss.csv
2023-08-09 00:35:52,747 - BARKLY-OOS (CAERLEON) - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-09 00:35:52,907 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 00:00:00 Index 0 - Actual: 0.3846153846153868, Predicted: 0.3882814347743988
2023-08-09 00:35:53,070 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 01:00:00 Index 1 - Actual: 0.3974358974359262, Predicted: 0.3656022548675537
2023-08-09 00:35:53,215 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 02:00:00 Index 2 - Actual: 0.4615384615384528, Predicted: 0.4339388906955719
2023-08-09 00:35:53,374 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 03:00:00 Index 3 - Actual: 0.5999999999999943, Predicted: 0.4621676504611969
2023-08-09 00:35:53,571 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 04:00:00 Index 4 - Actual: 0.590361445783131, Predicted: 0.3956361413002014
2023-08-09 00:35:53,739 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 05:00:00 Index 5 - Actual: 0.5662650602409798, Predicted: 0.4433160424232483
2023-08-09 00:35:53,881 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 06:00:00 Index 6 - Actual: 0.4819277108433795, Predicted: 0.4436914622783661
2023-08-09 00:35:54,026 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 07:00:00 Index 7 - Actual: 0.4216867469879588, Predicted: 0.4236084818840027
2023-08-09 00:35:54,175 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 08:00:00 Index 8 - Actual: 0.373493975903628, Predicted: 0.43629133701324463
2023-08-09 00:35:54,322 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 09:00:00 Index 9 - Actual: 0.34939759036146256, Predicted: 0.4216574430465698
2023-08-09 00:35:54,471 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 10:00:00 Index 10 - Actual: 0.9523809523809526, Predicted: 0.40383434295654297
2023-08-09 00:35:54,619 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 11:00:00 Index 11 - Actual: 0.8412698412698412, Predicted: 0.3752304017543793
2023-08-09 00:35:54,779 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 12:00:00 Index 12 - Actual: 0.9047619047619051, Predicted: 0.37720465660095215
2023-08-09 00:35:54,922 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 13:00:00 Index 13 - Actual: 0.9365079365079363, Predicted: 0.405719131231308
2023-08-09 00:35:55,060 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 14:00:00 Index 14 - Actual: 0.9841269841269842, Predicted: 0.3411558270454407
2023-08-09 00:35:55,210 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-01 15:00:00 Index 15 - Actual: 0.9682539682539684, Predicted: 0.4496970474720001
